active;measurement_id;device_id;unit;measurement_index;Location_facility_id;time_min;time_max;output_format;;;;;;
false;vBat;VIC-GXHQ2104LN3BG-100;V;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;tBat;VIC-GXHQ2104LN3BG-227;DEG_C;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iAcGrid;VIC-GXHQ2104LN3BG-30;A;1;AI13;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iBat;VIC-GXHQ2104GPEZ3-100;A;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcGrid;VIC-GXHQ2104GPEZ3-100;W;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcHome;VIC-GXHQ2104GPEZ3-100;W;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pBat;VIC-GXHQ2104GPEZ3-100;W;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;sOc;VIC-GXHQ2104GPEZ3-100;;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;vBat;VIC-GXHQ2104GPEZ3-100;V;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;tBat;VIC-GXHQ2104GPEZ3-227;DEG_C;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iAcGrid;VIC-GXHQ2104GPEZ3-30;A;1;AI15;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;iBat;VIC-GXHQ2104PTK9Z-100;A;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
false;pAcGrid;VIC-GXHQ2104PTK9Z-100;W;1;AI18;2021-10-20T10:15:50.729000Z;2026-03-26T18:21:50.095000Z;csv;;;;;;
